epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6808.97,1.52257,6.66583,1.87208,0.37605,0.47473,0.42735,0.2618,1.85746,6.72253,1.40829,0.0007294,0.0007294,0.0007294
43,6966.46,1.51729,6.68845,1.86995,0.25188,0.52489,0.45001,0.2755,1.9949,6.72781,1.42324,0.0007228,0.0007228,0.0007228
44,7138.64,1.55216,6.75235,1.90069,0.40834,0.52774,0.48844,0.31642,1.9008,6.68656,1.38944,0.0007162,0.0007162,0.0007162
45,7292.4,1.51033,6.64244,1.84538,0.33058,0.63478,0.4429,0.29945,1.80574,6.46148,1.35459,0.0007096,0.0007096,0.0007096
46,7454.28,1.53451,6.65985,1.86549,0.37611,0.57945,0.4609,0.30859,1.85593,6.45259,1.36578,0.000703,0.000703,0.000703
47,7628.44,1.54791,6.51689,1.87853,0.3335,0.5486,0.44273,0.29784,1.99801,7.21908,1.43505,0.0006964,0.0006964,0.0006964
48,7789.35,1.47168,6.45764,1.87076,0.38801,0.49268,0.43962,0.31482,1.79524,8.50511,1.35227,0.0006898,0.0006898,0.0006898
49,7938.81,1.46747,6.53155,1.8437,0.38568,0.43353,0.45281,0.31815,1.82803,8.58267,1.3829,0.0006832,0.0006832,0.0006832
50,8098.4,1.49892,6.51434,1.82566,0.3961,0.45997,0.46553,0.31361,1.89637,7.94859,1.39937,0.0006766,0.0006766,0.0006766
51,8259.23,1.52923,6.6187,1.89493,0.43272,0.51134,0.47128,0.30992,2.02424,7.79441,1.48496,0.00067,0.00067,0.00067
52,8409.76,1.50514,6.59545,1.84973,0.38761,0.5016,0.44114,0.29641,1.89747,8.48778,1.4782,0.0006634,0.0006634,0.0006634
53,8575.47,1.50967,6.54713,1.82563,0.39619,0.5729,0.48907,0.34032,1.79656,8.46056,1.4009,0.0006568,0.0006568,0.0006568
54,8746.87,1.5031,6.39759,1.81924,0.44309,0.53837,0.47481,0.32932,1.80583,6.69824,1.36703,0.0006502,0.0006502,0.0006502
55,8917.87,1.48953,6.59426,1.89045,0.57242,0.53659,0.49275,0.33436,2.00707,6.75555,1.43478,0.0006436,0.0006436,0.0006436
56,9088.75,1.49432,6.43136,1.85444,0.44046,0.53193,0.49512,0.33633,2.00836,7.22605,1.45266,0.000637,0.000637,0.000637
57,9246.62,1.49189,6.36757,1.8309,0.41376,0.54643,0.48991,0.32252,1.91081,7.44064,1.45453,0.0006304,0.0006304,0.0006304
58,9408.08,1.49955,6.55207,1.84048,0.60722,0.43538,0.47314,0.32524,1.89983,7.42215,1.42036,0.0006238,0.0006238,0.0006238
59,9577.26,1.48131,6.38404,1.80163,0.52948,0.46158,0.47009,0.31574,1.98164,7.20393,1.46102,0.0006172,0.0006172,0.0006172
60,9753.75,1.54034,6.39031,1.85406,0.34439,0.61111,0.4807,0.31864,1.9022,7.24805,1.45034,0.0006106,0.0006106,0.0006106
61,9918.06,1.45506,6.24707,1.81463,0.3454,0.59506,0.48898,0.33819,1.78201,7.08551,1.36984,0.000604,0.000604,0.000604
62,10094.4,1.51318,6.40619,1.86208,0.42799,0.54996,0.52934,0.35894,1.84133,6.90041,1.37522,0.0005974,0.0005974,0.0005974
63,10270.6,1.4827,6.32439,1.84973,0.43745,0.53774,0.5121,0.34787,1.88702,6.89245,1.39798,0.0005908,0.0005908,0.0005908
64,10428.9,1.5048,6.31082,1.83421,0.46089,0.62178,0.49708,0.34842,1.86024,6.72123,1.37678,0.0005842,0.0005842,0.0005842
65,10594.2,1.42757,6.24807,1.78483,0.41459,0.59652,0.52058,0.35328,1.84067,6.45202,1.38562,0.0005776,0.0005776,0.0005776
66,10761.8,1.44563,6.21613,1.81081,0.38986,0.63678,0.55849,0.36825,1.75675,5.58775,1.37876,0.000571,0.000571,0.000571
67,10925.1,1.45696,6.15538,1.84281,0.37092,0.64089,0.51383,0.32609,1.80212,5.70727,1.4218,0.0005644,0.0005644,0.0005644
68,11082.3,1.44653,6.10677,1.8437,0.33299,0.68202,0.47329,0.3156,1.89286,6.00309,1.39998,0.0005578,0.0005578,0.0005578
69,11256.1,1.42314,5.87215,1.78054,0.37785,0.73242,0.51029,0.35069,1.85783,6.07026,1.39084,0.0005512,0.0005512,0.0005512
70,11658.5,1.44755,6.08839,1.82162,0.42576,0.68701,0.53206,0.35212,1.74767,5.81551,1.36649,0.0005446,0.0005446,0.0005446
71,11821.9,1.43716,6.06569,1.79086,0.4877,0.59975,0.52098,0.36002,1.81957,5.93165,1.35581,0.000538,0.000538,0.000538
72,11988.2,1.42812,6.16569,1.7871,0.42536,0.71241,0.53858,0.36548,1.89503,6.1825,1.41073,0.0005314,0.0005314,0.0005314
73,12133.7,1.44134,6.13917,1.82551,0.28192,0.63277,0.46616,0.31164,1.78959,5.91041,1.35897,0.0005248,0.0005248,0.0005248
74,12306.3,1.44708,6.05147,1.78678,0.26122,0.5509,0.45189,0.2947,1.78331,6.61044,1.36738,0.0005182,0.0005182,0.0005182
75,12477.9,1.43727,6.11619,1.80611,0.32527,0.54557,0.50859,0.33903,1.88434,6.9165,1.41041,0.0005116,0.0005116,0.0005116
76,12642.4,1.41116,6.01733,1.8022,0.39359,0.64825,0.53781,0.36002,1.86311,6.38254,1.39346,0.000505,0.000505,0.000505
